	sim_id	lbgi_icgm	lbgi_ideal	lbgi_diff	dkai_icgm	dkai_ideal	dkai_diff	bg_condition	true_start_bg	start_bg_with_offset	sbr	isf	cir	ylw	age	max_bolus_delivered	traditional_bolus_delivered	bolus_diff
19	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=195	2.03	1.41	0.6199999999999999	1.25	0.0	1.25	1	100	195				0	6	0.239067055393586	0	0.239067055393586
20	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=200	2.19	1.41	0.78	1.25	0.0	1.25	1	100	200				0	6	0.2466648997261241	0	0.2466648997261241
21	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=205	2.28	1.41	0.8699999999999999	1.25	0.0	1.25	1	100	205				0	6	0.2569131548723385	0	0.2569131548723385
22	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=210	2.21	1.41	0.8	1.25	0.0	1.25	1	100	210				0	6	0.2645109992048767	0	0.2645109992048767
23	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=215	2.17	1.41	0.76	1.25	0.0	1.25	1	100	215				0	6	0.2756427246223164	0	0.2756427246223164
24	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=220	2.26	1.41	0.8499999999999999	1.333	0.0	1.333	1	100	220				0	6	0.28412403922608	0	0.28412403922608
25	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=225	6.69	1.41	5.28	1.583	0.0	1.583	1	100	225				0	6	0.3005565862708719	0	0.3005565862708719
26	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=230	7.17	1.41	5.76	1.583	0.0	1.583	1	100	230				0	6	0.3099213711458609	0	0.3099213711458609
27	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=235	44.28	1.41	42.870000000000005	2.0	0.0	2.0	1	100	235				0	6	0.4799130128142609	0	0.4799130128142609
28	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=240	44.51	1.41	43.1	2.083	0.0	2.083	1	100	240				0	6	0.4950955633617062	0	0.4950955633617062
29	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=245	46.47	1.41	45.06	2.167	0.0	2.167	1	100	245				0	6	0.5059786782436174	0	0.5059786782436174
30	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=250	47.03	1.41	45.620000000000005	2.083	0.0	2.083	1	100	250				0	6	0.5117800849751845	0	0.5117800849751845
31	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=255	47.09	1.41	45.68000000000001	2.167	0.0	2.167	1	100	255				0	6	0.5400018073697597	0	0.5400018073697597
32	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=260	46.88	1.41	45.470000000000006	2.167	0.0	2.167	1	100	260				0	6	0.5339415837221404	0	0.5339415837221404
33	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=265	47.28	1.41	45.870000000000005	2.333	0.0	2.333	1	100	265				0	6	0.5518415026105916	0	0.5518415026105916
34	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=270	48.08	1.41	46.67	2.417	0.0	2.417	1	100	270				0	6	0.5709611142879852	0	0.5709611142879852
35	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=275	48.78	1.41	47.370000000000005	2.417	0.0	2.417	1	100	275				0	6	0.558614599659044	0	0.558614599659044
36	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=280	48.76	1.41	47.35	2.5	0.0	2.5	1	100	280				0	6	0.5646535737890942	0	0.5646535737890942
37	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=285	46.69	1.41	45.28	2.167	0.0	2.167	1	100	285				0	6	0.4467475626222514	0	0.4467475626222514
38	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=290	48.26	1.41	46.85	2.417	0.0	2.417	1	100	290				0	6	0.4801805420817884	0	0.4801805420817884
39	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=295	48.8	1.41	47.39	2.5	0.0	2.5	1	100	295				0	6	0.4641456798774656	0	0.4641456798774656
40	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=300	50.35	1.41	48.940000000000005	2.583	0.0	2.583	1	100	300				0	6	0.4720877280565808	0	0.4720877280565808
41	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=305	50.86	1.41	49.45	2.667	0.0	2.667	1	100	305				0	6	0.4592278469829489	0	0.4592278469829489
42	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=310	51.36	1.41	49.95	2.75	0.0	2.75	1	100	310				0	6	0.4703595724003888	0	0.4703595724003888
43	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=315	52.3	1.41	50.89	2.75	0.0	2.75	1	100	315				0	6	0.4788408870041524	0	0.4788408870041524
44	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=320	55.55	1.41	54.14	2.75	0.0	2.75	1	100	320				0	6	0.4952734340489442	0	0.4952734340489442
45	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=325	56.09	1.41	54.68000000000001	2.75	0.0	2.75	1	100	325				0	6	0.5055216891951586	0	0.5055216891951586
46	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=330	58.42	1.41	57.010000000000005	2.75	0.0	2.75	1	100	330				0	6	0.5078187119003447	0	0.5078187119003447
